TimeGenerated,EventID,Computer,Provider,Channel,RecordID,Level,AccessGranted,AccessList,AccessMask,AccessRemoved,AccountExpires,AdditionalInfo,AdditionalInfo2,AdvancedOptions,AlgorithmName,AllowedToDelegateTo,AppCorrelationID,AttributeLDAPDisplayName,AttributeSyntaxOID,AttributeValue,AuditPolicyChanges,AuditSourceName,AuthenticationPackageName,CallerProcessId,CallerProcessName,CategoryId,CertIssuerName,CertSerialNumber,CertThumbprint,ClientCreationTime,ClientProcessId,CommandLine,ComputerAccountChange,ConfigAccessPolicy,CountOfCredentialsReturned,DSName,DSType,DestinationDRA,DisableIntegrityChecks,DisplayName,DnsHostName,DomainBehaviorVersion,DomainName,DomainPolicyChanged,DomainSid,Dummy,ElevatedToken,EventSourceId,FailureReason,Flags,FlightSigning,ForceLogoff,HandleId,HomeDirectory,HomePath,HypervisorDebug,HypervisorLaunchType,HypervisorLoadOptions,Identity,ImpersonationLevel,IpAddress,IpPort,KerberosPolicyChange,KernelDebug,KeyFilePath,KeyLength,KeyName,KeyType,LmPackageName,LoadOptions,LockoutDuration,LockoutObservationWindow,LockoutThreshold,LogonGuid,LogonHours,LogonProcessName,LogonType,MachineAccountQuota,MandatoryLabel,MaxPasswordAge,MemberName,MemberSid,MinPasswordAge,MinPasswordLength,MixedDomainMode,NamingContext,NewProcessId,NewProcessName,NewSd,NewTargetUserName,NewTime,NewUacValue,ObjectClass,ObjectCollectionName,ObjectDN,ObjectGUID,ObjectIdentifyingProperties,ObjectName,ObjectProperties,ObjectServer,ObjectType,OemInformation,OldSd,OldTargetUserName,OldUacValue,OpCorrelationID,Operation,OperationType,Options,PackageName,PackageSid,ParentProcessName,PasswordHistoryLength,PasswordLastSet,PasswordProperties,PreAuthType,PreviousTime,PrimaryGroupId,PrivilegeList,ProcessCreationTime,ProcessId,ProcessName,ProfilePath,Properties,ProviderName,PuaCount,PuaPolicyId,ReadOperation,Reason,RemoteEventLogging,Resource,RestrictedAdminMode,ReturnCode,SamAccountName,Schema,SchemaFriendlyName,ScriptPath,ServiceName,ServicePrincipalNames,ServiceSid,SidHistory,SourceAddr,SourceDRA,Status,StatusCode,SubStatus,SubcategoryGuid,SubcategoryId,SubjectDomainName,SubjectLogonId,SubjectUserDomainName,SubjectUserName,SubjectUserSid,TargetDomainName,TargetInfo,TargetLinkedLogonId,TargetLogonGuid,TargetLogonId,TargetName,TargetOutboundDomainName,TargetOutboundUserName,TargetProcessId,TargetProcessName,TargetServerName,TargetSid,TargetUserName,TargetUserSid,TestSigning,TicketEncryptionType,TicketOptions,TokenElevationType,TransmittedServices,Type,UserAccountControl,UserParameters,UserPrincipalName,UserWorkstations,VirtualAccount,VsmLaunchType,Workstation,WorkstationName,attributes_xmlns
2025-08-13T19:49:59.842556Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x68,Registry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:49:59.842572Z,4696,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x3e7,,,,0x68,Registry,,,-,S-1-0-0,,,,,,,,,,,,,,,
2025-08-13T19:49:59.842574Z,4826,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,3,0,,,,,,,,%%1843,,,,,,,,,,,,,,,,,,,,%%1846,,,,,%%1843,,,,,,,,,,,,%%1843,,,,,%%1843,%%1848,-,,,,,,%%1843,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%%1843,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,,,,,,,,,,,,,,,%%1843,,,,,,,,,,,%%1848,,,
2025-08-13T19:49:59.844156Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x138,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.154082Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x154,C:\Windows\System32\autochk.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x138,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.755425Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x18c,C:\Windows\System32\setupcl.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x138,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.783314Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x198,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x138,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.888667Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x1a4,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x198,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.915760Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x1e0,C:\Windows\System32\smss.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x138,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.916394Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x1e8,C:\Windows\System32\wininit.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x198,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.921442Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x200,C:\Windows\System32\csrss.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.937861Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x254,C:\Windows\System32\winlogon.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\smss.exe,,,,,,,,,0x1e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.952944Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x280,C:\Windows\System32\services.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,,0x1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:00.965448Z,4688,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-1-16-16384,,,,,,,,0x294,C:\Windows\System32\lsass.exe,,,,,,,,,,,,,,,,,,,,,,,,C:\Windows\System32\wininit.exe,,,,,,,,,0x1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,0x3e7,,-,S-1-5-18,-,,,,0x0,,,,,,,,-,S-1-0-0,,,,%%1936,,,,,,,,,,,
2025-08-13T19:50:01.079490Z,4608,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.082290Z,4624,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,16,0,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,%%1842,,,,,,,,,,,,,-,-,-,,,,0,,,-,,,,,00000000-0000-0000-0000-000000000000,,-,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x4,,,,,,,,,,,-,,,,,,,,,,,,,,,,,-,0x0,,-,S-1-0-0,NT AUTHORITY,,0x0,,0x3e7,,-,-,,,,,SYSTEM,S-1-5-18,,,,,-,,,,,,%%1843,,,-,
2025-08-13T19:50:01.132626Z,4902,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0x18031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159169Z,4731,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,Print Operators,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-550,Print Operators,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159198Z,4735,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-550,Print Operators,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159299Z,4731,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,Remote Desktop Users,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-555,Remote Desktop Users,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159313Z,4735,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-555,Remote Desktop Users,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159381Z,4731,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,Network Configuration Operators,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-556,Network Configuration Operators,,,,,,,,,,,,,,,,
2025-08-13T19:50:01.159394Z,4735,WIN-LC7SFT89DTG,Microsoft-Windows-Security-Auditing,Security,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,0x3e7,,MINWINPC$,S-1-5-18,Builtin,,,,,,,,,,,S-1-5-32-556,Network Configuration Operators,,,,,,,,,,,,,,,,
