"ProcessId","ParentProcessId","Name","CommandLine","ExecutablePath","CreationDate"
"0","0","System Idle Process",,,"9/20/2026 4:18:51 AM"
"4","0","System",,,"9/20/2026 4:18:51 AM"
"100","4","Registry",,,"9/20/2026 4:18:47 AM"
"320","4","smss.exe",,,"9/20/2026 4:18:51 AM"
"440","432","csrss.exe",,,"9/20/2026 4:18:55 AM"
"540","432","wininit.exe",,,"9/20/2026 4:18:56 AM"
"548","532","csrss.exe",,,"9/20/2026 4:18:56 AM"
"632","532","winlogon.exe","winlogon.exe","C:\Windows\system32\winlogon.exe","9/20/2026 4:18:56 AM"
"672","540","services.exe",,,"9/20/2026 4:18:56 AM"
"692","540","lsass.exe","C:\Windows\system32\lsass.exe","C:\Windows\system32\lsass.exe","9/20/2026 4:18:56 AM"
"892","672","svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\system32\svchost.exe","9/20/2026 4:18:59 AM"
"932","672","svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p","C:\Windows\system32\svchost.exe","9/20/2026 4:18:59 AM"
"996","672","svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM","C:\Windows\system32\svchost.exe","9/20/2026 4:18:59 AM"
"368","632","dwm.exe","""dwm.exe""","C:\Windows\system32\dwm.exe","9/20/2026 4:18:59 AM"
"808","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s DsmSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1052","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -s W32Time","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1060","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s nsi","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1072","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","C:\Windows\System32\svchost.exe","9/20/2026 4:19:00 AM"
"1080","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","C:\Windows\System32\svchost.exe","9/20/2026 4:19:00 AM"
"1092","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1180","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog","C:\Windows\System32\svchost.exe","9/20/2026 4:19:00 AM"
"1192","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1276","672","svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1384","672","svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s NlaSvc","C:\Windows\System32\svchost.exe","9/20/2026 4:19:00 AM"
"1444","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s gpsvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1468","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\Windows\system32\svchost.exe","9/20/2026 4:19:00 AM"
"1532","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s EventSystem","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1540","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s ProfSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1552","672","svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s Themes","C:\Windows\System32\svchost.exe","9/20/2026 4:19:01 AM"
"1612","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1680","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm","C:\Windows\System32\svchost.exe","9/20/2026 4:19:01 AM"
"1704","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s SENS","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1812","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
